kl_divergence,mean_ratio_initial_iter,median_ratio_initial_iter,pairwise_hd_aver,mean_hd_from_CreiLOV,fitness_advantage,total_reward,ppo_loss_initial_iter,num_muts,aver_num_masks_to_add_muts,batch_size,epoch,step,rel_WT_fitness,max_norm
0.0,1.0,1.0,8.0,6.0,0.920507550239563,0.9205155372619629,-0.921875,6.0,4.5,2.0,0,0,,
,,,,,,,,,,,0,0,0.920507550239563,1.2671047449111938
0.030259791761636734,1.0078125,1.0078125,8.0,6.0,0.781664252281189,0.7816722393035889,-0.7578125,6.0,4.333333492279053,3.0,1,1,,
,,,,,,,,,,,1,1,0.781664252281189,1.3711403608322144
0.05344068259000778,1.1171875,1.0078125,8.0,6.0,0.9266731142997742,0.9266811013221741,-0.9375,6.0,4.25,4.0,2,2,,
,,,,,,,,,,,2,2,0.9266731142997742,1.3639450073242188
0.05773954093456268,1.1015625,1.0078125,7.900000095367432,6.0,0.9306501150131226,0.9306580424308777,-0.921875,6.0,4.0,5.0,3,3,,
,,,,,,,,,,,3,3,0.9306501150131226,1.366524577140808
0.053065232932567596,1.109375,1.0078125,7.933333873748779,6.0,0.933262288570404,0.9332702159881592,-0.953125,6.0,4.333333492279053,6.0,4,4,,
,,,,,,,,,,,4,4,0.933262288570404,1.361385703086853
0.04571600630879402,1.0546875,1.0078125,7.857142925262451,6.0,0.9342036247253418,0.9342114925384521,-0.9140625,6.0,4.5714287757873535,7.0,5,5,,
,,,,,,,,,,,5,5,0.9342036247253418,1.449708104133606
0.041165322065353394,1.109375,1.046875,7.964285850524902,6.0,0.9120827913284302,0.9120907783508301,-0.94921875,6.0,4.625,8.0,6,6,,
,,,,,,,,,,,6,6,0.9120827913284302,1.3106679916381836
0.04053102433681488,1.046875,1.0,7.916666507720947,6.0,0.9450286626815796,0.9450365900993347,-0.94921875,6.0,4.55555534362793,9.0,7,7,,
,,,,,,,,,,,7,7,0.9450286626815796,1.2198386192321777
0.03790678456425667,1.109375,1.0,7.888889312744141,6.0,0.9313325881958008,0.9313404560089111,-0.953125,6.0,4.099999904632568,10.0,8,8,,
,,,,,,,,,,,8,8,0.9313325881958008,1.340935230255127
0.03568246588110924,1.0390625,0.98828125,7.866666793823242,6.0,0.9250022768974304,0.9250101447105408,-0.90234375,6.0,4.199999809265137,10.0,9,9,,
,,,,,,,,,,,9,9,0.9250022768974304,1.2413041591644287
